,defect,tit_for_tat,generous_tit_for_tat,cooperate
517,19,30,22,29
518,19,31,21,29
519,19,31,20,30
520,19,32,19,30
521,19,33,18,30
522,19,33,19,29
523,19,32,19,30
524,18,33,19,30
525,18,34,18,30
526,18,34,18,30
527,18,35,18,29
528,18,35,18,29
529,18,35,18,29
530,18,34,18,30
531,19,34,18,29
532,19,34,18,29
533,19,33,19,29
534,19,33,19,29
535,19,34,19,28
536,19,34,19,28
537,19,33,19,29
538,19,34,18,29
539,20,34,18,28
540,19,34,19,28
541,19,35,19,27
542,20,34,19,27
543,19,34,19,28
544,20,33,19,28
545,21,33,19,27
546,20,34,19,27
547,20,34,19,27
548,20,34,19,27
549,20,33,20,27
550,19,33,20,28
551,20,33,20,27
552,20,33,21,26
553,20,34,20,26
554,20,33,20,27
555,21,33,20,26
556,20,33,21,26
557,20,33,22,25
558,20,33,21,26
559,20,33,21,26
560,20,33,20,27
561,19,33,20,28
562,19,32,20,29
563,20,31,20,29
564,20,30,20,30
565,20,31,20,29
566,20,30,20,30
567,20,30,21,29
568,21,29,21,29
569,21,28,21,30
570,21,29,21,29
571,21,30,21,28
572,21,30,21,28
573,21,29,21,29
574,22,28,21,29
575,22,29,21,28
576,23,29,21,27
577,23,29,21,27
578,23,29,21,27
579,22,30,21,27
580,22,30,20,28
581,22,31,20,27
582,22,31,20,27
583,22,31,20,27
584,22,31,20,27
585,22,31,20,27
586,22,30,20,28
587,22,30,20,28
588,22,30,20,28
589,22,30,20,28
590,22,31,19,28
591,23,31,18,28
592,23,32,18,27
593,23,32,19,26
594,24,31,19,26
595,24,30,19,27
596,25,29,19,27
597,25,29,19,27
598,25,29,19,27
599,25,30,19,26
600,25,30,19,26
601,25,29,19,27
602,26,28,19,27
603,26,28,18,28
604,26,28,18,28
605,26,27,18,29
606,26,26,19,29
607,27,26,19,28
608,28,26,18,28
609,28,26,17,29
610,27,26,18,29
611,28,26,18,28
612,28,26,18,28
613,28,26,18,28
614,29,25,18,28
615,29,24,19,28
616,28,24,20,28
617,27,24,20,29
618,28,24,20,28
619,28,23,21,28
620,28,23,20,29
621,28,23,19,30
622,28,22,19,31
623,27,23,19,31
624,26,23,19,32
625,26,22,20,32
626,26,22,20,32
627,26,22,21,31
628,26,23,21,30
629,25,24,21,30
630,25,24,22,29
631,25,25,22,28
632,25,25,22,28
633,25,25,22,28
634,25,25,23,27
635,25,25,23,27
636,25,25,23,27
637,26,25,23,26
638,26,24,24,26
639,26,24,24,26
640,26,24,23,27
641,26,25,23,26
642,26,24,23,27
643,26,24,24,26
644,25,24,24,27
645,24,24,24,28
646,23,24,25,28
647,23,24,26,27
648,23,23,27,27
649,24,23,27,26
650,24,23,27,26
651,24,23,26,27
652,24,23,27,26
653,24,22,27,27
654,24,21,27,28
655,24,21,26,29
656,24,22,25,29
657,23,22,25,30
658,23,22,25,30
659,23,21,26,30
660,23,22,25,30
661,23,22,25,30
662,23,22,25,30
663,23,22,25,30
664,22,22,25,31
665,23,22,25,30
666,23,22,25,30
667,23,22,25,30
668,24,22,25,29
669,24,22,25,29
670,24,23,24,29
671,24,22,24,30
672,24,23,24,29
673,23,23,25,29
674,23,23,25,29
675,23,23,24,30
676,23,23,25,29
677,23,23,26,28
678,23,22,26,29
679,24,22,25,29
680,23,23,25,29
681,23,23,24,30
682,24,23,24,29
683,25,23,24,28
684,25,23,24,28
685,25,23,24,28
686,25,24,23,28
687,25,25,23,27
688,25,24,23,28
689,25,24,22,29
690,25,24,23,28
691,25,25,23,27
692,25,25,24,26
693,25,25,24,26
694,26,24,24,26
695,26,24,24,26
696,25,24,24,27
697,25,25,24,26
698,25,25,23,27
699,25,26,23,26
700,25,26,23,26
701,26,26,22,26
702,26,26,23,25
703,26,26,23,25
704,26,26,23,25
705,26,26,23,25
706,26,27,22,25
707,26,27,23,24
708,26,26,23,25
709,25,26,24,25
710,25,25,24,26
711,25,25,24,26
712,25,25,23,27
713,25,26,23,26
714,25,26,23,26
715,25,25,23,27
716,25,25,23,27
717,25,25,24,26
718,25,26,24,25
719,25,26,24,25
720,25,25,24,26
721,26,24,24,26
722,25,25,24,26
723,25,24,25,26
724,25,24,25,26
725,26,24,25,25
726,26,24,25,25
727,26,24,24,26
728,26,24,24,26
729,25,24,24,27
730,25,24,25,26
731,25,24,24,27
732,26,24,23,27
733,26,24,23,27
734,26,25,23,26
735,27,24,23,26
736,27,24,23,26
737,27,24,23,26
738,28,23,23,26
739,28,23,23,26
740,27,23,24,26
741,28,22,24,26
742,28,21,24,27
743,28,21,24,27
744,28,21,23,28
745,28,21,22,29
746,28,21,22,29
747,28,20,23,29
748,28,19,24,29
749,27,19,25,29
750,27,18,25,30
751,26,18,25,31
752,25,18,25,32
753,25,18,25,32
754,24,18,26,32
755,24,18,27,31
756,24,18,27,31
757,24,17,28,31
758,24,17,29,30
759,24,18,29,29
760,23,18,30,29
761,23,18,29,30
762,24,18,28,30
763,23,18,28,31
764,24,17,28,31
765,24,17,28,31
766,24,17,28,31
767,24,17,29,30
768,24,17,28,31
