,m,d,r,w,R,S,T,P
71,7.5,0.31,0.17,1.0,615419,121220,92980,160381
72,7.5,0.33,0.32,1.0,521374,106419,138140,224067
73,6.9,0.8,0.17,1.0,575645,123423,107887,183045
74,3.5,0.31,0.19,1.0,581938,116304,107078,184680
75,4.1,0.31,0.3,1.0,523089,122497,143883,200531
76,3.3,0.84,0.21,1.0,596148,117358,101089,175405
77,6.0,0.31,0.17,1.0,497723,96789,160434,235054
78,3.6,0.91,0.35,1.0,599735,125338,107811,157116
79,3.1,0.27,0.15,1.0,642832,131575,80103,135490
80,9.6,0.39,0.24,1.0,595188,124424,105156,165232
81,9.0,0.31,0.58,1.0,617334,111776,93777,167113
82,3.3,0.35,0.22,1.0,551223,118007,130010,190760
83,3.3,0.99,0.17,1.0,575770,118509,118441,177280
84,4.3,0.34,0.23,1.0,568248,113055,122523,186174
85,3.4,0.46,0.47,1.0,592865,124932,96631,175572
86,5.8,0.44,0.44,1.0,592896,122040,107313,167751
87,5.7,0.2,0.16,1.0,552398,108087,127334,202181
88,9.5,0.68,0.76,1.0,634670,132553,79892,142885
89,3.7,0.27,0.61,1.0,594799,116069,107201,171931
90,3.4,0.45,0.17,1.0,507599,98772,157215,226414
91,3.6,0.2,0.25,1.0,566633,112482,123510,187375
92,3.8,0.89,0.36,1.0,547704,106365,134662,201269
93,2.6,0.26,0.4,1.0,531207,112322,128192,218279
94,3.3,0.24,0.88,1.0,581897,118791,108545,180767
95,4.6,0.21,0.46,1.0,616187,130405,85229,158179
96,6.9,0.82,0.61,1.0,549886,112826,121020,206268
97,3.8,0.34,0.35,1.0,578605,125328,108515,177552
98,3.1,0.36,0.16,1.0,507334,96905,144738,241023
99,3.5,0.44,0.15,1.0,434528,86181,207582,261709
