,defect,tit_for_tat,generous_tit_for_tat,cooperate
885,38,17,8,37
886,38,16,9,37
887,37,16,9,38
888,38,16,9,37
889,38,15,9,38
890,37,15,10,38
891,37,14,10,39
892,37,14,10,39
893,37,14,10,39
894,37,14,9,40
895,38,13,9,40
896,37,13,9,41
897,37,13,9,41
898,37,13,8,42
899,36,13,8,43
900,36,13,7,44
901,36,13,6,45
902,36,13,6,45
903,36,12,6,46
904,36,11,6,47
905,35,11,7,47
906,35,11,7,47
907,34,11,7,48
908,34,11,7,48
909,34,11,7,48
910,35,11,7,47
911,36,11,7,46
912,36,11,7,46
913,36,12,7,45
914,35,12,7,46
915,36,12,7,45
916,36,12,7,45
917,35,12,7,46
918,34,12,7,47
919,35,12,6,47
920,34,12,6,48
921,34,11,7,48
922,35,11,7,47
923,35,11,7,47
924,34,11,7,48
925,35,11,7,47
926,36,11,7,46
927,36,11,6,47
928,36,10,6,48
929,36,10,6,48
930,36,10,6,48
931,35,10,6,49
932,35,10,6,49
933,34,10,6,50
934,34,10,6,50
935,34,10,6,50
936,35,9,6,50
937,35,9,6,50
938,34,9,6,51
939,34,9,6,51
940,34,9,6,51
941,35,8,6,51
942,35,8,6,51
943,35,8,6,51
944,35,7,6,52
945,35,7,6,52
946,35,7,6,52
947,35,8,6,51
948,35,8,6,51
949,35,8,5,52
950,36,8,5,51
951,37,8,5,50
952,37,8,5,50
953,37,8,5,50
954,36,8,5,51
955,36,8,5,51
956,36,8,5,51
957,36,8,5,51
958,37,8,5,50
959,37,8,5,50
960,36,8,5,51
961,37,8,5,50
962,38,8,5,49
963,39,8,5,48
964,40,8,5,47
965,41,8,5,46
966,40,9,5,46
967,41,8,5,46
968,42,8,5,45
969,41,8,5,46
970,41,8,5,46
971,41,8,5,46
972,41,8,5,46
973,41,7,6,46
974,40,7,7,46
975,40,7,7,46
976,40,7,7,46
977,40,7,7,46
978,39,8,7,46
979,38,8,7,47
980,39,8,7,46
981,39,7,7,47
982,39,7,8,46
983,39,7,8,46
984,39,7,8,46
985,40,7,8,45
986,40,6,8,46
987,39,6,8,47
988,38,6,8,48
989,38,6,7,49
990,39,6,7,48
991,38,6,7,49
992,38,6,7,49
993,38,5,7,50
994,38,5,8,49
995,37,5,9,49
996,37,5,9,49
997,38,5,9,48
998,37,5,9,49
999,37,5,9,49
1000,36,5,9,50
1001,37,5,9,49
1002,36,5,9,50
1003,35,6,9,50
1004,36,6,9,49
1005,36,6,8,50
1006,36,7,8,49
1007,36,7,8,49
1008,35,7,8,50
1009,35,7,8,50
1010,36,7,8,49
1011,36,7,9,48
1012,36,8,9,47
1013,37,8,9,46
1014,36,9,9,46
1015,36,9,9,46
1016,36,9,9,46
1017,36,9,9,46
1018,35,10,9,46
1019,35,11,9,45
1020,35,12,8,45
1021,35,12,9,44
1022,35,12,9,44
1023,35,12,9,44
1024,35,12,9,44
1025,34,13,9,44
1026,34,12,9,45
1027,35,12,9,44
1028,36,12,9,43
1029,36,12,9,43
1030,36,11,9,44
1031,36,11,9,44
1032,37,11,9,43
1033,37,11,9,43
1034,37,11,9,43
1035,37,11,9,43
1036,38,11,9,42
1037,38,10,9,43
1038,38,10,9,43
1039,39,10,9,42
1040,39,11,9,41
1041,40,11,9,40
1042,40,11,9,40
1043,39,12,9,40
1044,38,12,10,40
1045,38,12,10,40
1046,39,12,10,39
1047,40,12,10,38
1048,40,12,10,38
1049,41,12,10,37
1050,41,13,10,36
1051,42,13,10,35
1052,42,13,10,35
1053,41,13,10,36
1054,41,13,10,36
1055,41,12,11,36
1056,40,13,11,36
1057,40,13,11,36
1058,40,13,11,36
1059,40,13,11,36
1060,41,13,11,35
1061,42,13,10,35
1062,42,12,10,36
1063,42,11,10,37
1064,41,11,10,38
1065,42,10,10,38
1066,42,9,10,39
1067,42,9,10,39
1068,41,9,10,40
1069,40,10,10,40
1070,39,10,10,41
1071,38,10,10,42
1072,38,10,10,42
1073,39,10,10,41
1074,38,10,10,42
1075,38,10,10,42
1076,38,9,11,42
1077,38,9,11,42
1078,39,9,11,41
1079,39,9,11,41
1080,40,9,11,40
1081,40,9,11,40
1082,41,9,10,40
1083,42,8,10,40
1084,42,8,10,40
1085,42,8,9,41
1086,42,8,9,41
1087,43,7,9,41
1088,43,7,9,41
1089,42,7,9,42
1090,42,7,9,42
1091,42,8,9,41
1092,41,8,9,42
1093,42,8,9,41
1094,41,8,9,42
1095,40,8,9,43
1096,41,8,8,43
1097,40,8,8,44
1098,40,8,8,44
1099,40,8,8,44
1100,41,8,7,44
1101,41,9,7,43
1102,40,9,7,44
1103,39,9,7,45
1104,40,9,7,44
1105,39,9,7,45
1106,38,9,8,45
1107,39,9,8,44
1108,39,9,8,44
1109,39,9,8,44
1110,39,9,8,44
1111,38,9,8,45
1112,38,9,8,45
1113,39,9,8,44
1114,40,9,8,43
1115,41,9,8,42
1116,41,9,9,41
1117,41,10,9,40
1118,40,11,9,40
1119,39,11,9,41
1120,39,10,9,42
1121,40,10,9,41
1122,41,10,8,41
1123,41,10,8,41
1124,41,10,8,41
1125,42,10,8,40
1126,41,11,8,40
1127,40,11,9,40
1128,40,11,9,40
1129,40,11,9,40
1130,41,10,9,40
1131,41,10,10,39
1132,42,9,10,39
1133,42,10,10,38
1134,42,10,10,38
1135,43,10,10,37
1136,43,10,10,37
1137,43,9,10,38
1138,43,9,10,38
1139,43,9,9,39
1140,43,9,9,39
1141,43,9,8,40
1142,43,9,9,39
1143,44,9,9,38
1144,43,9,9,39
1145,44,9,8,39
1146,44,9,9,38
1147,43,9,10,38
1148,42,9,11,38
1149,42,9,11,38
1150,43,9,10,38
1151,43,9,10,38
1152,42,10,10,38
1153,43,10,10,37
1154,43,10,10,37
1155,42,10,10,38
1156,41,10,11,38
1157,41,10,11,38
1158,42,10,10,38
1159,41,11,10,38
1160,40,12,10,38
1161,41,12,10,37
1162,41,12,11,36
1163,42,12,11,35
1164,43,12,11,34
1165,43,12,10,35
1166,43,12,10,35
1167,43,12,10,35
1168,43,12,10,35
1169,43,12,11,34
1170,43,12,11,34
1171,43,11,12,34
1172,43,11,13,33
1173,43,12,13,32
1174,42,13,13,32
1175,42,14,13,31
1176,43,14,13,30
1177,43,14,13,30
1178,44,14,13,29
1179,43,14,13,30
1180,44,13,13,30
1181,43,13,13,31
1182,43,13,13,31
1183,42,13,14,31
1184,43,13,14,30
1185,44,13,14,29
1186,44,13,14,29
1187,45,12,14,29
1188,45,12,14,29
1189,46,12,14,28
1190,46,12,15,27
1191,46,12,16,26
1192,45,13,16,26
1193,45,13,16,26
1194,46,13,15,26
1195,47,13,15,25
1196,47,13,15,25
1197,46,13,15,26
1198,46,14,14,26
1199,46,14,14,26
1200,46,15,14,25
1201,46,15,14,25
1202,46,15,15,24
1203,45,15,15,25
1204,45,15,15,25
1205,45,15,15,25
1206,46,15,15,24
1207,47,14,15,24
1208,47,14,14,25
1209,46,14,15,25
1210,46,13,16,25
1211,46,13,15,26
1212,45,14,15,26
1213,45,14,15,26
1214,46,14,14,26
1215,46,14,14,26
1216,46,13,14,27
1217,47,13,13,27
1218,47,13,13,27
1219,46,14,13,27
1220,46,14,12,28
1221,47,14,12,27
1222,47,14,11,28
1223,47,14,11,28
1224,47,14,11,28
1225,47,15,11,27
1226,47,15,11,27
1227,47,15,11,27
1228,48,15,11,26
1229,48,15,11,26
1230,48,15,11,26
1231,47,15,11,27
1232,47,16,10,27
1233,47,16,10,27
1234,46,17,10,27
1235,46,18,9,27
1236,45,18,10,27
1237,46,17,10,27
1238,46,17,10,27
1239,45,18,10,27
1240,45,18,10,27
1241,44,18,10,28
1242,45,18,10,27
1243,46,18,10,26
1244,46,19,9,26
1245,46,19,9,26
1246,47,18,9,26
1247,46,18,10,26
1248,45,18,10,27
1249,46,17,10,27
1250,46,17,10,27
1251,46,16,10,28
1252,47,16,10,27
1253,47,16,11,26
1254,46,16,11,27
1255,46,16,11,27
1256,46,16,11,27
1257,45,16,12,27
1258,45,16,12,27
1259,44,16,13,27
1260,45,15,13,27
1261,45,15,13,27
1262,45,16,13,26
1263,45,17,13,25
1264,45,16,13,26
1265,45,16,13,26
1266,44,16,14,26
1267,45,16,14,25
1268,44,17,14,25
1269,44,17,14,25
1270,44,17,14,25
1271,44,16,14,26
1272,44,16,14,26
1273,44,16,14,26
1274,45,16,13,26
1275,45,16,13,26
1276,45,15,13,27
1277,45,15,13,27
1278,46,15,13,26
1279,46,14,13,27
1280,47,13,13,27
1281,46,13,13,28
1282,45,13,14,28
1283,45,14,14,27
1284,45,14,14,27
1285,44,14,14,28
1286,45,14,13,28
1287,46,13,13,28
1288,47,12,13,28
1289,47,12,13,28
1290,47,12,14,27
1291,48,11,14,27
1292,48,11,14,27
1293,48,12,14,26
1294,48,12,14,26
1295,48,11,15,26
1296,49,11,15,25
1297,50,11,15,24
1298,50,11,14,25
1299,50,11,13,26
1300,49,11,14,26
1301,49,11,14,26
1302,49,11,14,26
1303,49,12,14,25
1304,49,12,14,25
1305,49,11,15,25
1306,50,10,15,25
1307,49,10,15,26
1308,50,10,14,26
1309,51,10,14,25
1310,51,9,14,26
1311,51,9,14,26
1312,50,9,15,26
1313,51,9,15,25
1314,51,9,15,25
1315,52,9,15,24
1316,52,9,15,24
1317,52,9,16,23
1318,53,8,16,23
1319,53,8,16,23
1320,53,8,16,23
1321,52,8,16,24
1322,52,8,16,24
1323,52,8,16,24
1324,52,7,17,24
1325,52,7,17,24
1326,53,7,17,23
1327,54,7,16,23
1328,53,7,16,24
1329,54,7,15,24
1330,55,7,15,23
1331,54,7,15,24
1332,55,7,14,24
1333,56,7,13,24
1334,55,7,14,24
1335,56,7,14,23
1336,56,7,14,23
1337,56,7,14,23
1338,56,7,14,23
1339,56,7,14,23
1340,56,7,14,23
1341,55,7,14,24
1342,54,8,14,24
1343,54,8,14,24
1344,55,8,14,23
1345,56,8,13,23
1346,56,8,13,23
1347,56,8,13,23
1348,55,8,13,24
1349,56,8,13,23
1350,56,8,13,23
1351,57,8,13,22
1352,57,8,13,22
1353,56,8,14,22
1354,57,7,14,22
