S.D.,Counts,seed,tournament_type
1.5,98,1024,norm_m_sd_max
1.6,76,1024,norm_m_sd_max
1.7,62,1024,norm_m_sd_max
1.8,47,1024,norm_m_sd_max
1.9,37,1024,norm_m_sd_max
2,38,1024,norm_m_sd_max
2.1,23,1024,norm_m_sd_max
2.2,19,1024,norm_m_sd_max
2.3,11,1024,norm_m_sd_max
2.4,7,1024,norm_m_sd_max
2.5,3,1024,norm_m_sd_max
2.6,6,1024,norm_m_sd_max
2.7,3,1024,norm_m_sd_max
2.8,2,1024,norm_m_sd_max
2.9,0,1024,norm_m_sd_max
3,0,1024,norm_m_sd_max
0.5,244,128,norm_m_sd_max
0.6,255,128,norm_m_sd_max
0.7,234,128,norm_m_sd_max
0.8,231,128,norm_m_sd_max
0.9,208,128,norm_m_sd_max
1,190,128,norm_m_sd_max
1.1,164,128,norm_m_sd_max
1.2,133,128,norm_m_sd_max
1.3,130,128,norm_m_sd_max
1.4,104,128,norm_m_sd_max
1.5,106,128,norm_m_sd_max
1.6,85,128,norm_m_sd_max
1.7,78,128,norm_m_sd_max
1.8,61,128,norm_m_sd_max
1.9,48,128,norm_m_sd_max
2,26,128,norm_m_sd_max
2.1,16,128,norm_m_sd_max
2.2,9,128,norm_m_sd_max
2.3,4,128,norm_m_sd_max
2.4,2,128,norm_m_sd_max
2.5,0,128,norm_m_sd_max
2.6,0,128,norm_m_sd_max
2.7,0,128,norm_m_sd_max
2.8,0,128,norm_m_sd_max
2.9,0,128,norm_m_sd_max
3,0,128,norm_m_sd_max
0.5,238,16,norm_m_sd_max
0.6,234,16,norm_m_sd_max
0.7,240,16,norm_m_sd_max
0.8,246,16,norm_m_sd_max
0.9,225,16,norm_m_sd_max
1,222,16,norm_m_sd_max
1.1,192,16,norm_m_sd_max
1.2,157,16,norm_m_sd_max
1.3,147,16,norm_m_sd_max
1.4,145,16,norm_m_sd_max
1.5,114,16,norm_m_sd_max
1.6,76,16,norm_m_sd_max
1.7,78,16,norm_m_sd_max
1.8,53,16,norm_m_sd_max
1.9,48,16,norm_m_sd_max
2,31,16,norm_m_sd_max
2.1,15,16,norm_m_sd_max
2.2,8,16,norm_m_sd_max
2.3,6,16,norm_m_sd_max
2.4,6,16,norm_m_sd_max
2.5,8,16,norm_m_sd_max
2.6,8,16,norm_m_sd_max
2.7,8,16,norm_m_sd_max
2.8,3,16,norm_m_sd_max
2.9,3,16,norm_m_sd_max
3,2,16,norm_m_sd_max
0.5,278,256,norm_m_sd_max
0.6,251,256,norm_m_sd_max
0.7,236,256,norm_m_sd_max
0.8,231,256,norm_m_sd_max
0.9,209,256,norm_m_sd_max
1,187,256,norm_m_sd_max
1.1,177,256,norm_m_sd_max
1.2,146,256,norm_m_sd_max
1.3,149,256,norm_m_sd_max
1.4,126,256,norm_m_sd_max
1.5,80,256,norm_m_sd_max
1.6,79,256,norm_m_sd_max
1.7,67,256,norm_m_sd_max
1.8,63,256,norm_m_sd_max
1.9,55,256,norm_m_sd_max
2,35,256,norm_m_sd_max
2.1,19,256,norm_m_sd_max
2.2,18,256,norm_m_sd_max
2.3,14,256,norm_m_sd_max
2.4,10,256,norm_m_sd_max
2.5,8,256,norm_m_sd_max
2.6,8,256,norm_m_sd_max
2.7,7,256,norm_m_sd_max
2.8,5,256,norm_m_sd_max
2.9,2,256,norm_m_sd_max
3,1,256,norm_m_sd_max
0.5,260,2,norm_m_sd_max
0.6,259,2,norm_m_sd_max
0.7,252,2,norm_m_sd_max
0.8,250,2,norm_m_sd_max
0.9,231,2,norm_m_sd_max
1,227,2,norm_m_sd_max
1.1,201,2,norm_m_sd_max
1.2,172,2,norm_m_sd_max
1.3,166,2,norm_m_sd_max
1.4,130,2,norm_m_sd_max
1.5,108,2,norm_m_sd_max
1.6,91,2,norm_m_sd_max
1.7,70,2,norm_m_sd_max
1.8,59,2,norm_m_sd_max
1.9,41,2,norm_m_sd_max
2,33,2,norm_m_sd_max
2.1,29,2,norm_m_sd_max
2.2,29,2,norm_m_sd_max
2.3,19,2,norm_m_sd_max
2.4,10,2,norm_m_sd_max
2.5,6,2,norm_m_sd_max
2.6,7,2,norm_m_sd_max
2.7,2,2,norm_m_sd_max
2.8,1,2,norm_m_sd_max
2.9,0,2,norm_m_sd_max
3,0,2,norm_m_sd_max
0.5,229,32,norm_m_sd_max
0.6,230,32,norm_m_sd_max
0.7,239,32,norm_m_sd_max
0.8,234,32,norm_m_sd_max
0.9,213,32,norm_m_sd_max
1,200,32,norm_m_sd_max
1.1,171,32,norm_m_sd_max
1.2,166,32,norm_m_sd_max
1.3,154,32,norm_m_sd_max
1.4,133,32,norm_m_sd_max
1.5,101,32,norm_m_sd_max
1.6,75,32,norm_m_sd_max
1.7,56,32,norm_m_sd_max
1.8,46,32,norm_m_sd_max
1.9,41,32,norm_m_sd_max
2,37,32,norm_m_sd_max
2.1,29,32,norm_m_sd_max
2.2,16,32,norm_m_sd_max
2.3,12,32,norm_m_sd_max
2.4,11,32,norm_m_sd_max
2.5,7,32,norm_m_sd_max
2.6,6,32,norm_m_sd_max
2.7,5,32,norm_m_sd_max
2.8,1,32,norm_m_sd_max
2.9,2,32,norm_m_sd_max
3,0,32,norm_m_sd_max
0.5,284,4,norm_m_sd_max
0.6,296,4,norm_m_sd_max
