,defect,tit_for_tat,generous_tit_for_tat,cooperate
628,18,34,23,25
629,17,35,23,25
630,17,36,22,25
631,16,36,23,25
632,17,36,23,24
633,17,36,24,23
634,17,35,25,23
635,18,34,25,23
636,18,34,24,24
637,18,34,24,24
638,18,34,24,24
639,18,34,25,23
640,18,34,25,23
641,18,33,26,23
642,19,32,26,23
643,19,32,26,23
644,19,32,26,23
645,18,33,26,23
646,18,33,26,23
647,18,32,27,23
648,18,32,27,23
649,18,32,27,23
650,18,32,27,23
651,19,32,26,23
652,18,32,27,23
653,17,32,27,24
654,17,32,27,24
655,17,31,28,24
656,16,31,29,24
657,16,31,28,25
658,15,31,28,26
659,15,31,29,25
660,15,31,28,26
661,15,32,27,26
662,15,32,27,26
663,14,32,27,27
664,14,33,26,27
665,14,33,26,27
666,14,33,27,26
667,14,33,26,27
668,14,33,26,27
669,14,32,26,28
670,14,32,26,28
671,14,33,26,27
672,14,34,26,26
673,14,33,27,26
674,15,33,26,26
675,15,34,26,25
676,15,35,25,25
677,14,35,26,25
678,14,35,26,25
679,14,34,26,26
680,14,33,26,27
681,14,32,27,27
682,14,32,27,27
683,13,32,28,27
684,13,31,28,28
685,13,30,29,28
686,13,29,30,28
687,13,28,30,29
688,13,28,29,30
689,12,29,29,30
690,12,30,29,29
691,12,30,29,29
692,12,31,28,29
693,13,31,27,29
694,13,30,28,29
695,14,29,28,29
696,14,28,29,29
697,13,28,29,30
698,13,28,30,29
699,13,28,29,30
700,13,28,29,30
701,13,28,29,30
702,13,27,30,30
703,13,27,29,31
704,13,27,29,31
705,14,27,29,30
706,14,28,28,30
707,14,28,27,31
708,14,28,27,31
709,14,28,27,31
710,14,28,26,32
711,15,28,26,31
712,15,29,25,31
713,15,29,26,30
714,15,29,25,31
715,15,29,24,32
716,15,30,24,31
717,15,29,25,31
718,16,28,25,31
719,16,28,26,30
720,16,27,26,31
721,16,27,25,32
722,17,27,24,32
723,18,27,23,32
724,17,27,24,32
725,18,26,24,32
726,18,26,25,31
727,18,27,24,31
728,19,26,24,31
729,19,25,24,32
730,19,25,25,31
731,19,25,24,32
732,19,25,24,32
733,19,25,24,32
734,19,25,24,32
735,19,25,24,32
736,19,25,24,32
737,20,24,24,32
738,21,23,24,32
739,20,23,24,33
740,21,23,23,33
741,21,23,22,34
742,21,23,22,34
743,21,24,22,33
744,21,25,21,33
745,21,24,21,34
746,21,24,21,34
747,22,23,21,34
748,22,23,21,34
749,23,23,20,34
750,24,23,20,33
751,24,24,20,32
752,24,24,20,32
753,24,24,20,32
754,25,24,20,31
755,25,24,20,31
756,25,24,20,31
757,25,24,20,31
758,26,23,20,31
759,26,23,20,31
760,26,24,19,31
761,27,24,18,31
762,28,23,18,31
763,28,23,18,31
764,28,23,18,31
765,28,22,18,32
766,27,22,18,33
767,27,22,18,33
768,28,22,17,33
769,28,22,17,33
770,28,21,18,33
771,28,21,18,33
772,27,21,18,34
773,27,21,18,34
774,28,21,17,34
775,28,20,17,35
776,27,21,17,35
777,27,21,16,36
778,26,22,16,36
779,27,22,16,35
780,26,22,16,36
781,27,22,15,36
782,28,22,15,35
783,28,23,15,34
784,28,22,15,35
785,27,22,15,36
786,28,21,15,36
787,28,22,15,35
788,28,22,15,35
789,28,21,15,36
790,28,21,15,36
791,28,22,15,35
792,28,22,15,35
793,29,21,15,35
794,28,22,15,35
795,27,23,15,35
796,27,23,14,36
797,27,23,14,36
798,27,22,15,36
799,27,21,15,37
800,28,21,15,36
801,28,21,15,36
802,28,21,14,37
803,28,20,15,37
804,29,20,15,36
805,29,19,15,37
806,29,19,15,37
807,29,20,15,36
808,29,20,15,36
809,28,21,15,36
810,28,22,15,35
811,27,22,15,36
812,26,22,15,37
813,25,22,16,37
814,25,22,16,37
815,25,23,16,36
816,24,23,16,37
817,24,23,16,37
818,24,23,16,37
819,25,23,16,36
820,25,24,16,35
821,25,24,15,36
822,24,24,15,37
823,24,24,15,37
824,23,24,15,38
825,23,24,14,39
826,23,24,14,39
827,23,25,13,39
828,24,24,13,39
829,24,25,13,38
830,23,26,13,38
831,24,25,13,38
832,24,25,13,38
833,25,24,13,38
834,24,25,13,38
835,25,24,13,38
836,25,25,12,38
837,25,25,13,37
838,25,24,13,38
839,25,23,13,39
840,25,23,12,40
841,25,22,12,41
842,24,22,12,42
843,24,22,12,42
844,25,22,12,41
845,25,23,12,40
846,25,23,13,39
847,24,23,14,39
848,25,23,13,39
849,25,23,14,38
850,25,24,14,37
851,25,23,14,38
852,25,23,15,37
853,24,24,15,37
854,24,23,15,38
855,24,23,15,38
856,24,23,15,38
857,25,22,15,38
858,25,22,15,38
859,25,21,15,39
860,24,21,16,39
861,24,21,16,39
862,25,21,15,39
863,25,22,15,38
864,25,21,15,39
865,26,21,15,38
866,26,21,14,39
867,26,21,14,39
868,26,20,15,39
869,26,20,15,39
870,26,20,15,39
871,27,20,14,39
872,27,20,14,39
873,27,19,15,39
874,26,19,15,40
875,26,19,15,40
876,26,19,15,40
877,26,19,14,41
878,25,19,14,42
879,26,19,13,42
880,27,18,13,42
881,28,18,13,41
882,28,19,13,40
883,28,19,13,40
884,27,19,13,41
885,27,19,13,41
886,27,18,14,41
887,27,18,14,41
888,26,18,15,41
889,26,18,15,41
890,27,18,14,41
891,27,18,15,40
892,26,18,15,41
893,26,18,15,41
894,27,17,15,41
895,27,17,14,42
896,27,17,14,42
897,27,17,14,42
898,28,17,13,42
899,27,17,14,42
900,28,17,13,42
901,28,17,13,42
902,28,16,14,42
903,28,16,14,42
904,28,16,13,43
905,28,16,13,43
906,28,17,13,42
907,29,17,12,42
908,30,17,12,41
909,30,17,12,41
910,30,18,12,40
911,30,18,13,39
912,30,19,12,39
913,30,19,12,39
914,31,19,12,38
915,31,19,12,38
916,31,19,12,38
917,30,19,12,39
918,30,18,12,40
919,30,18,12,40
920,29,18,12,41
921,29,18,12,41
922,30,17,12,41
923,29,18,12,41
924,29,17,13,41
925,29,17,13,41
926,28,17,13,42
927,28,18,13,41
928,28,18,13,41
929,28,18,12,42
930,28,18,13,41
931,28,18,12,42
932,28,18,12,42
933,28,17,12,43
934,28,17,12,43
935,27,17,12,44
936,26,17,12,45
937,26,17,13,44
938,26,18,12,44
939,27,17,12,44
940,27,18,12,43
941,27,17,13,43
942,27,16,13,44
943,27,15,13,45
944,27,15,13,45
945,27,15,12,46
946,27,15,12,46
947,27,16,12,45
948,27,16,12,45
949,28,16,12,44
950,28,16,12,44
951,29,16,12,43
952,29,16,12,43
953,28,16,13,43
954,29,16,13,42
955,29,15,14,42
956,29,16,14,41
957,30,16,14,40
958,29,16,14,41
959,28,17,14,41
960,27,17,14,42
961,28,17,14,41
962,29,17,14,40
963,30,17,14,39
964,30,17,14,39
965,30,16,14,40
966,30,16,14,40
967,30,16,14,40
968,30,16,14,40
969,31,16,14,39
970,32,15,14,39
971,33,15,14,38
972,33,15,14,38
973,33,15,14,38
974,34,15,13,38
975,34,15,13,38
976,34,15,13,38
977,35,15,13,37
978,35,14,13,38
979,36,14,13,37
980,37,13,13,37
981,37,13,13,37
982,37,13,13,37
983,38,12,13,37
984,37,13,13,37
985,37,14,13,36
986,37,14,13,36
987,37,14,13,36
988,36,14,13,37
989,35,14,13,38
990,35,14,14,37
991,36,14,14,36
992,36,14,14,36
993,36,14,14,36
994,35,14,14,37
995,35,14,14,37
996,36,13,14,37
997,37,13,14,36
998,37,13,14,36
999,37,12,14,37
1000,38,11,14,37
1001,38,11,14,37
1002,38,11,14,37
1003,39,11,14,36
1004,39,10,15,36
1005,38,10,15,37
1006,38,10,15,37
1007,38,10,15,37
1008,37,10,15,38
1009,36,10,15,39
1010,35,10,15,40
1011,36,10,15,39
1012,37,10,15,38
1013,37,11,14,38
1014,37,12,13,38
1015,36,13,13,38
1016,35,13,13,39
1017,35,13,13,39
1018,35,13,13,39
1019,35,13,13,39
1020,36,13,13,38
1021,36,12,13,39
1022,35,12,13,40
1023,36,11,13,40
1024,35,11,13,41
1025,35,12,13,40
1026,36,12,13,39
1027,36,12,14,38
1028,35,12,14,39
1029,35,12,14,39
1030,36,11,14,39
1031,35,12,14,39
1032,36,12,14,38
1033,36,12,14,38
1034,36,11,15,38
1035,36,11,15,38
1036,35,12,15,38
1037,34,12,15,39
1038,34,11,16,39
1039,34,11,16,39
1040,34,11,17,38
1041,34,12,17,37
1042,35,12,17,36
1043,35,13,17,35
1044,35,13,17,35
1045,34,13,17,36
1046,33,14,17,36
1047,33,14,17,36
1048,34,14,17,35
1049,33,14,18,35
1050,33,14,17,36
1051,33,14,16,37
1052,34,14,16,36
1053,33,14,17,36
1054,34,14,16,36
1055,34,14,16,36
1056,33,14,16,37
1057,33,13,16,38
1058,32,13,16,39
1059,32,13,15,40
1060,31,13,15,41
1061,32,13,14,41
1062,31,14,14,41
1063,30,14,14,42
1064,29,14,14,43
1065,30,14,13,43
1066,31,14,12,43
1067,31,14,12,43
1068,30,14,12,44
1069,30,14,11,45
1070,29,14,12,45
1071,29,14,12,45
1072,29,14,12,45
1073,29,14,12,45
1074,28,14,12,46
1075,27,14,12,47
1076,26,15,12,47
1077,25,15,12,48
1078,26,15,12,47
1079,25,15,12,48
1080,25,15,12,48
1081,25,15,12,48
1082,25,15,13,47
1083,25,16,13,46
1084,25,16,13,46
1085,24,17,13,46
1086,24,17,12,47
1087,24,18,12,46
1088,24,19,12,45
1089,23,19,12,46
1090,23,20,12,45
1091,24,20,12,44
1092,23,20,12,45
1093,23,19,12,46
1094,23,19,12,46
1095,23,19,12,46
1096,23,19,12,46
1097,23,19,11,47
1098,23,19,11,47
1099,23,19,11,47
1100,22,19,11,48
1101,22,19,11,48
1102,22,19,11,48
1103,23,19,11,47
1104,24,19,10,47
1105,23,19,10,48
1106,23,19,11,47
1107,23,20,11,46
1108,24,20,11,45
1109,24,19,12,45
1110,24,19,12,45
1111,24,20,12,44
1112,24,20,12,44
1113,24,21,11,44
1114,23,22,11,44
1115,23,22,11,44
1116,22,22,11,45
1117,21,22,11,46
1118,21,22,11,46
1119,21,21,11,47
1120,20,22,11,47
1121,20,22,10,48
1122,19,22,10,49
1123,19,22,10,49
1124,19,22,10,49
1125,19,22,10,49
1126,19,21,11,49
1127,19,21,11,49
1128,18,21,11,50
1129,18,21,11,50
1130,18,22,11,49
1131,18,23,11,48
1132,18,23,11,48
1133,19,23,11,47
1134,20,22,11,47
1135,19,23,11,47
1136,19,24,10,47
1137,19,24,10,47
1138,19,25,10,46
1139,20,24,10,46
1140,20,25,10,45
1141,20,24,10,46
1142,20,24,9,47
1143,21,24,9,46
1144,20,24,9,47
1145,20,24,9,47
1146,20,25,9,46
1147,20,25,9,46
1148,19,26,9,46
1149,19,26,9,46
1150,19,26,9,46
1151,19,27,9,45
1152,19,27,10,44
1153,19,27,10,44
1154,19,26,10,45
1155,19,27,10,44
1156,19,27,10,44
1157,19,26,10,45
