,m,d,r,w,R,S,T,P
69,4.8,0.35,0.58,1.0,491799,131098,111257,255846
70,4.7,0.84,0.19,1.0,453289,113464,127821,295426
71,9.0,0.23,0.17,1.0,440142,117120,130263,302475
72,2.6,0.22,0.78,1.0,533449,154174,89862,212515
73,2.8,0.74,0.21,1.0,464210,125537,125961,274292
74,2.7,0.56,0.44,1.0,459013,109948,125353,295686
75,3.3,0.21,0.28,1.0,478433,134297,112540,264730
76,3.5,0.23,0.16,1.0,499041,142493,108980,239486
77,4.1,0.24,0.26,1.0,436039,115828,139135,298998
78,4.7,0.23,0.27,1.0,469923,112937,120796,286344
79,2.7,0.29,0.26,1.0,398688,106527,150117,334668
80,2.8,0.23,0.18,1.0,435804,114738,132783,306675
81,3.5,0.28,0.92,1.0,449610,113535,128652,298203
82,4.1,0.24,0.15,1.0,542734,163439,87563,196264
83,5.0,0.24,0.34,1.0,489562,139241,110944,250253
84,8.5,0.31,0.32,1.0,479614,119021,115151,276214
85,3.6,0.37,0.44,1.0,482810,116102,113340,277748
86,4.0,0.59,0.39,1.0,491951,132667,112634,252748
87,5.3,0.59,0.2,1.0,390020,109507,155366,335107
88,3.7,0.37,0.16,1.0,468387,124004,126333,271276
89,5.6,0.3,0.18,1.0,444997,105440,139869,299694
90,4.2,0.24,0.5,1.0,451788,145060,121594,271558
91,8.0,0.2,0.19,1.0,491767,125176,109613,263444
92,6.7,0.57,0.65,1.0,488383,117399,108379,275839
93,3.0,0.2,0.67,1.0,458625,120015,126888,284472
94,4.2,0.21,0.21,1.0,446033,111653,130778,301536
95,6.4,0.21,0.7,1.0,464201,123601,119269,282929
96,7.9,0.2,0.34,1.0,430512,118030,136016,305442
97,6.4,0.38,0.34,1.0,512819,149786,100037,227358
98,3.7,0.52,0.23,1.0,467181,110339,124355,288125
99,3.0,0.46,0.17,1.0,449224,120814,129695,290267
